meanBlue;meanRed;sdBlue;skewnessBlue;dfRG;dfRB;dfGB;entropyBlue;energyBlue;contrastBlue;homogeneityBlue;coverage;cloudType
0,348138851;0,516697827;0,861541506;0,841193536;0,63317104;0,718669295;0,671335512;0,522379294;0,288032932;0,079911763;0,350419975;0,293153892;0
0,331575883;0,463741311;0,976075922;0,911113954;0,589886703;0,662243574;0,613347612;0,529341941;0,287467453;0,049048307;0,49885406;0,35803914;0
0,286685392;0,557485093;0,489629287;0,664584492;0,760078618;0,859394187;0,796903201;0,439280372;0,09797584;0,049683832;0,402240818;0,627527469;0
0,246702104;0,378425991;0,692906842;0,904410856;0,619193113;0,647607548;0,557567035;0,565764051;0,120452145;0,073558965;0,448913561;0,315974255;0
0,368223662;0,592223976;0,547773224;0,683379156;0,759604905;0,80377926;0,697345893;0,339811242;0,036546955;0,190176597;0,159136269;0,441843834;0
0,306422417;0,543846157;0,511757457;0,735639804;0,76770689;0,813401858;0,706510781;0,435876263;0,044652439;0,142941622;0,229719922;0,489565048;0
0,43560222;0,685642362;0,50600742;0,574243916;0,820272745;0,853301468;0,725444909;0,463069399;0,073352415;0,165108935;0,198791367;0,625251935;0
0,3915485;0,583140091;0,683040368;0,749223217;0,748704076;0,759805197;0,629206769;0,409050491;0,055623583;0,133762088;0,302925714;0,49463624;0
0,240455258;0,366599616;0,802589127;0,982366861;0,649092684;0,638345978;0,510857213;0,561813745;0,217640566;0,044668337;0,534066888;0,332943242;0
0,387208404;0,458073328;0,384443283;0,471030996;0,600866257;0,580964596;0,456117542;0,585052655;0,323147907;0,06215632;0,387845463;0,192250179;0
0,413305117;0,691860898;0,594313989;0,462819403;0,736562635;0,891700842;0,878647777;0,477913447;0,105284551;0,191587512;0,164248175;0,719068981;0
0,273955599;0,430106106;0,600065302;0,820955998;0,664674991;0,688138198;0,58475611;0,477246601;0,134747286;0,060708598;0,408085897;0,241791821;0
0,308618506;0,41952786;0,6405445;0,875121856;0,639348312;0,627098757;0,500420864;0,66621692;0,160128368;0,232953082;0,249183024;0,224367726;0
0,35775477;0,425929914;0,383021137;0,573528147;0,579152828;0,572142934;0,462073764;0,607816356;0,358254379;0,044935797;0,470614685;0,132956245;0
0,461311218;0,555874556;0,465783773;0,525700429;0,657262536;0,628140124;0,484288862;0,590967334;0,279947857;0,11505213;0,306882677;0,192380209;0
0,541684026;0,774085712;0,621482889;0,584213043;0,888898692;0,844755885;0,641100114;0,622396383;0,269641682;0,16889264;0,326276448;0,641505754;0
0,393812873;0,559944852;0,467688643;0,557746894;0,663278284;0,722614052;0,648170911;0,534437383;0,138025364;0,139334588;0,282256447;0,577335675;0
0,485073538;0,519455738;0,504217164;0,521325911;0,572142147;0,543261489;0,417171545;0,554201036;0,182869981;0,150712696;0,280615679;0,315324101;0
0,28265431;0,396494034;0,289941368;0,546435187;0,563419855;0,627144265;0,5768163;0,534520106;0,220515581;0,061579685;0,484962345;0,220856902;0
0,61800087;0,689804674;0,51387347;0,326869397;0,644727466;0,620377274;0,482924633;0,482385206;0,187082587;0,208093989;0,226280624;0,27306417;0
0,542737803;0,749292787;0,415927567;0,291071406;0,831136925;0,806794144;0,630873857;0,510588275;0,19168125;0,233573884;0,196686448;0,71978415;0
0,60285046;0,812940128;0,463526092;0,255519887;0,789180069;0,821914068;0,700239422;0,414635562;0,1483579;0,282592746;0,123708546;0,685716144;0
0,357594475;0,612998525;0,544943472;0,74668161;0,79310415;0,848362368;0,743867452;0,553908577;0,192245028;0,134350991;0,255791105;0,470515572;0
0,097376151;0,409422545;0,244374268;0,765785706;0,770150109;0,889059121;0,840138333;0,451756917;0,115810965;0,179937036;0,200579843;0,450555881;0
0,42133719;0,607104872;0,434776082;0,376234368;0,709022129;0,756120592;0,662462569;0,483729425;0,26958896;0,031786071;0,503993369;0,351342566;0
0,320424728;0,354950077;0,443883899;0,688703491;0,516371603;0,516343701;0,424808496;0,437212219;0,20005034;0,059479262;0,40656382;0,075612769;0
0,328173247;0,636042117;0,584832258;0,625840687;0,727659817;0,920923593;0,940158114;0,402790514;0,289110319;0,045642482;0,596618749;0,646641961;0
0,278270812;0,609236148;0,570265911;0,710724355;0,765282674;0,946778777;0,948849614;0,755494308;0,640974359;0,014707867;0,75147508;0,611208634;0
