;meanBlue;meanRed;sdBlue;skewnessBlue;dfRG;dfRB;dfGB;entropyBlue;energyBlue;contrastBlue;homogeneityBlue;coverage;cloudType
569;157,2194214;126,9866943;53,73085706;-1,288862942;-36,56164551;-30,23272705;6,328918457;-5,923537418;0,00365427;11,6052;0,621831262;0,501831055;2
570;149,4185181;124,3330078;51,7834822;-1,44051978;-35,90966797;-25,08551025;10,82415771;-5,63313854;0,00493032;6,4618;0,655437074;0,569152832;2
571;145,3076782;119,557312;51,55109744;-1,467761312;-37,74151611;-25,75036621;11,9911499;-6,106609696;0,0043739;15,0078;0,641432953;0,577453613;2
572;141,1717529;113,1160889;49,58268678;-1,449356995;-37,5423584;-28,05566406;9,486694336;-5,713531124;0,00457474;9,6342;0,638449979;0,436889648;2
573;163,3771362;136,9182129;51,68468153;-1,328608419;-28,29492188;-26,45892334;1,835998535;-5,79450704;0,00500905;7,2466;0,64910504;0,570617676;2
574;158,0780029;132,395874;46,35031048;-1,884944468;-29,98620605;-25,68212891;4,304077148;-5,783458106;0,00487422;5,6522;0,668335357;0,586547852;2
575;160,7498169;123,1682739;54,99085811;-1,209944633;-38,6463623;-37,58154297;1,064819336;-5,881563625;0,00448056;5,7682;0,660170164;0,325195313;2
576;191,7541504;132,7229614;59,68938582;-2,239444673;-49,71777344;-59,03118896;-9,313415527;-5,907011148;0,00407354;27,1832;0,609686841;0,325683594;2
577;148,4985962;111,6911621;56,35283454;-0,374047725;-37,06610107;-36,80743408;0,258666992;-5,602112965;0,00614684;3,1488;0,700338103;0,303466797;2
578;154,0308838;116,4042969;59,39521671;-0,534402927;-39,12457275;-37,62658691;1,49798584;-5,607577894;0,00699871;2,825;0,721650824;0,315795898;2
579;156,4620361;123,5949097;58,95022043;-0,633692402;-36,81494141;-32,86712646;3,947814941;-5,627847879;0,00596943;5,056;0,677580983;0,436584473;2
580;144,5139771;111,4501953;55,83776366;-0,606463172;-39,61853027;-33,06378174;6,554748535;-5,623439424;0,00542481;3,9284;0,692296747;0,413818359;2
